name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,price_range
Beach Road Cafe Bar,23 Hesterman Way,Croydon,,Croydon,,,E09000008,Broad Green,E05011465,530624.0001,166010.0001,-0.122924469,51.37759744,03/20/2022,£
Cricketers Inn,"36 Addington Village Road, Addington",Croydon,,Croydon,,,E09000008,Selsdon & Addington Village,E05011480,537258.0001,164012.0001,-0.028424217,51.35807525,03/20/2022,£££
Surprise,107 Upper Shirley Road,Croydon,,Croydon,,,E09000008,Shirly South,E05011483,535599.0001,164986.0001,-0.051867746,51.36722757,03/20/2022,£
Coombe Lodge,104 Coombe Road,Croydon,,Croydon,,,E09000008,South Croydon,E05011484,534356.0001,164372.0001,-0.069946885,51.36200465,03/20/2022,££
Orchard,112 Cherry Orchard Road,Croydon,,Croydon,,,E09000008,Addiscombe West,E05011463,533053.0001,166054.0001,-0.088023783,51.37742872,03/20/2022,£££
Oval Tavern,131 Oval Road,Croydon,,Croydon,,,E09000008,Addiscombe West,E05011463,533129.0001,166074.0001,-0.086924819,51.37759066,03/20/2022,£
Porter & Sorter,Station Road,Croydon,,Croydon,,,E09000008,Addiscombe West,E05011463,532903.0001,165831.0001,-0.09026143,51.37545961,03/20/2022,£
Alma Tavern,127-129 Lower Addiscombe Road,Croydon,,Croydon,,,E09000008,Addiscombe West,E05011463,533582.0001,166248.0001,-0.080353652,51.37904808,03/20/2022,£
Cricketers,107 Addiscombe Road,Croydon,,Croydon,,,E09000008,Addiscombe West,E05011463,533466.0001,165763.0001,-0.082201852,51.37471635,03/20/2022,££
Builders Arms,65 Leslie Park Road,Croydon,,Croydon,,,E09000008,Addiscombe West,E05011463,533242.0001,166214.0001,-0.085249457,51.37882241,03/20/2022,£
Claret & Ale,"5 Bingham Corner, Lower Addiscombe Road",Addiscombe,,Croydon,,,E09000008,Addiscombe East,E05011462,534172.0001,166310.0001,-0.071856754,51.37946614,03/20/2022,£
Cricketers,47 Shirley Road,Addiscombe,,Croydon,,,E09000008,Shirley North,E05011482,534911.0001,166508.0001,-0.061168123,51.3810705,03/20/2022,£
Orchard,116 Orchard Way,Croydon,,Croydon,,,E09000008,Shirley North,E05011482,536469.0001,167059.0001,-0.038580065,51.38565007,03/20/2022,£
Crown,"28 Wickham Road, Shirley",Croydon,,Croydon,,,E09000008,Shirley North,E05011482,535503.0001,165640.0001,-0.052996741,51.37312832,03/20/2022,££
Shirley Inn,158 Wickham Road,Croydon,,Croydon,,,E09000008,Shirley North,E05011482,535784.0001,165718.0001,-0.048931837,51.3737622,03/20/2022,£££
Forestdale Arms,"Forestdale Centre, Featherbed Lane",Croydon,,Croydon,,,E09000008,Selsdon Vale & Forestdale,E05011481,536723.0001,163137.0001,-0.036440437,51.35034027,03/20/2022,£
Randall Tavern,"Fieldway, New Addington",Croydon,,Croydon,,,E09000008,New Addington North,E05011470,537953.0001,163597.0001,-0.018608591,51.35417713,03/20/2022,£££
